Hour,Camera,Person_Count
00,camera_1,0
01,camera_1,0
02,camera_1,0
03,camera_1,0
04,camera_1,0
05,camera_1,0
06,camera_1,0
07,camera_1,0
08,camera_1,0
09,camera_1,0
10,camera_1,0
11,camera_1,0
12,camera_1,8
13,camera_1,6
14,camera_1,2
15,camera_1,0
16,camera_1,0
17,camera_1,0
18,camera_1,0
19,camera_1,0
20,camera_1,6
21,camera_1,0
22,camera_1,0
23,camera_1,0
00,camera_2,0
01,camera_2,0
02,camera_2,0
03,camera_2,0
04,camera_2,0
05,camera_2,0
06,camera_2,0
07,camera_2,0
08,camera_2,0
09,camera_2,0
10,camera_2,0
11,camera_2,0
12,camera_2,4
13,camera_2,3
14,camera_2,1
15,camera_2,0
16,camera_2,0
17,camera_2,0
18,camera_2,0
19,camera_2,0
20,camera_2,3
21,camera_2,0
22,camera_2,0
23,camera_2,0
00,camera_3,0
01,camera_3,0
02,camera_3,0
03,camera_3,0
04,camera_3,0
05,camera_3,0
06,camera_3,0
07,camera_3,0
08,camera_3,0
09,camera_3,0
10,camera_3,0
11,camera_3,0
12,camera_3,0
13,camera_3,0
14,camera_3,0
15,camera_3,0
16,camera_3,0
17,camera_3,0
18,camera_3,0
19,camera_3,0
20,camera_3,0
21,camera_3,0
22,camera_3,0
23,camera_3,0
00,camera_4,0
01,camera_4,0
02,camera_4,0
03,camera_4,0
04,camera_4,0
05,camera_4,0
06,camera_4,0
07,camera_4,0
08,camera_4,0
09,camera_4,0
10,camera_4,0
11,camera_4,0
12,camera_4,12
13,camera_4,9
14,camera_4,3
15,camera_4,0
16,camera_4,0
17,camera_4,0
18,camera_4,0
19,camera_4,0
20,camera_4,9
21,camera_4,0
22,camera_4,0
23,camera_4,0
00,camera_5,0
01,camera_5,0
02,camera_5,0
03,camera_5,0
04,camera_5,0
05,camera_5,0
06,camera_5,0
07,camera_5,0
08,camera_5,0
09,camera_5,0
10,camera_5,0
11,camera_5,0
12,camera_5,0
13,camera_5,0
14,camera_5,0
15,camera_5,0
16,camera_5,0
17,camera_5,0
18,camera_5,0
19,camera_5,0
20,camera_5,0
21,camera_5,0
22,camera_5,0
23,camera_5,0
00,camera_6,0
01,camera_6,0
02,camera_6,0
03,camera_6,0
04,camera_6,0
05,camera_6,0
06,camera_6,0
07,camera_6,0
08,camera_6,0
09,camera_6,0
10,camera_6,0
11,camera_6,0
12,camera_6,8
13,camera_6,6
14,camera_6,2
15,camera_6,0
16,camera_6,0
17,camera_6,0
18,camera_6,0
19,camera_6,0
20,camera_6,6
21,camera_6,0
22,camera_6,0
23,camera_6,0
00,camera_7,0
01,camera_7,0
02,camera_7,0
03,camera_7,0
04,camera_7,0
05,camera_7,0
06,camera_7,0
07,camera_7,0
08,camera_7,0
09,camera_7,0
10,camera_7,0
11,camera_7,0
12,camera_7,0
13,camera_7,0
14,camera_7,0
15,camera_7,0
16,camera_7,0
17,camera_7,0
18,camera_7,0
19,camera_7,0
20,camera_7,0
21,camera_7,0
22,camera_7,0
23,camera_7,0
00,camera_8,0
01,camera_8,0
02,camera_8,0
03,camera_8,0
04,camera_8,0
05,camera_8,0
06,camera_8,0
07,camera_8,0
08,camera_8,0
09,camera_8,0
10,camera_8,0
11,camera_8,0
12,camera_8,0
13,camera_8,0
14,camera_8,0
15,camera_8,0
16,camera_8,0
17,camera_8,0
18,camera_8,0
19,camera_8,0
20,camera_8,0
21,camera_8,0
22,camera_8,0
23,camera_8,0
00,camera_9,0
01,camera_9,0
02,camera_9,0
03,camera_9,0
04,camera_9,0
05,camera_9,0
06,camera_9,0
07,camera_9,0
08,camera_9,0
09,camera_9,0
10,camera_9,0
11,camera_9,0
12,camera_9,8
13,camera_9,6
14,camera_9,2
15,camera_9,0
16,camera_9,0
17,camera_9,0
18,camera_9,0
19,camera_9,0
20,camera_9,6
21,camera_9,0
22,camera_9,0
23,camera_9,0
